idCompra~idGanado~precioIndividual~observaciones
1~23~17000000.00~Excelente conformación pélvica
1~24~17000000.00~
1~25~17000000.00~Pendiente marcar con hierro de la finca
1~26~17000000.00~
1~27~17000000.00~Llegó con un ligero golpe en la pata
2~3~2206470.00~Lote 779 Subastar
2~4~2206470.00~Lote 779 Subastar
2~5~2206470.00~Lote 779 Subastar
2~6~2206470.00~Lote 779 Subastar
2~7~2206470.00~Lote 779 Subastar
2~8~2206470.00~Lote 779 Subastar
2~9~2206470.00~Lote 779 Subastar
2~10~2206470.00~Lote 779 Subastar
2~11~2206470.00~Lote 779 Subastar
2~12~2206470.00~Lote 779 Subastar
2~13~2206470.00~Lote 779 Subastar
2~14~2206470.00~Lote 779 Subastar
2~15~2206470.00~Lote 779 Subastar
2~16~2206470.00~Lote 779 Subastar
2~17~2206470.00~Lote 779 Subastar
2~18~2206470.00~Lote 779 Subastar
2~19~2206470.00~Lote 779 Subastar
2~20~2206470.00~Lote 779 Subastar
2~21~2206470.00~Lote 779 Subastar
2~22~2206470.00~Lote 779 Subastar
3~1~15000000.00~Se compró de palabra, toro de excelente genética.
